"filename", "language", "TypeScript", "SCSS", "HTML", "Markdown", "JSON", "JSON with Comments", "XML", "comment", "blank", "total"
"/Users/althaf/Desktop/Web Development/lwc-dashboard/README.md", "Markdown", 0, 0, 0, 37, 0, 0, 0, 0, 24, 61
"/Users/althaf/Desktop/Web Development/lwc-dashboard/angular.json", "JSON", 0, 0, 0, 0, 103, 0, 0, 0, 1, 104
"/Users/althaf/Desktop/Web Development/lwc-dashboard/package-lock.json", "JSON", 0, 0, 0, 0, 9779, 0, 0, 0, 1, 9780
"/Users/althaf/Desktop/Web Development/lwc-dashboard/package.json", "JSON", 0, 0, 0, 0, 55, 0, 0, 0, 1, 56
"/Users/althaf/Desktop/Web Development/lwc-dashboard/public/discord-logo.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"/Users/althaf/Desktop/Web Development/lwc-dashboard/public/facebook-logo.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"/Users/althaf/Desktop/Web Development/lwc-dashboard/public/google-logo.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"/Users/althaf/Desktop/Web Development/lwc-dashboard/src/app/app.config.server.ts", "TypeScript", 10, 0, 0, 0, 0, 0, 0, 0, 3, 13
"/Users/althaf/Desktop/Web Development/lwc-dashboard/src/app/app.config.ts", "TypeScript", 11, 0, 0, 0, 0, 0, 0, 0, 3, 14
"/Users/althaf/Desktop/Web Development/lwc-dashboard/src/app/app.html", "HTML", 0, 0, 3, 0, 0, 0, 0, 0, 3, 6
"/Users/althaf/Desktop/Web Development/lwc-dashboard/src/app/app.routes.server.ts", "TypeScript", 7, 0, 0, 0, 0, 0, 0, 0, 2, 9
"/Users/althaf/Desktop/Web Development/lwc-dashboard/src/app/app.routes.ts", "TypeScript", 11, 0, 0, 0, 0, 0, 0, 0, 2, 13
"/Users/althaf/Desktop/Web Development/lwc-dashboard/src/app/app.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/althaf/Desktop/Web Development/lwc-dashboard/src/app/app.spec.ts", "TypeScript", 20, 0, 0, 0, 0, 0, 0, 0, 4, 24
"/Users/althaf/Desktop/Web Development/lwc-dashboard/src/app/app.ts", "TypeScript", 11, 0, 0, 0, 0, 0, 0, 0, 2, 13
"/Users/althaf/Desktop/Web Development/lwc-dashboard/src/app/core/readme.md", "Markdown", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"/Users/althaf/Desktop/Web Development/lwc-dashboard/src/app/features/auth/admin/admin.routes.ts", "TypeScript", 19, 0, 0, 0, 0, 0, 0, 0, 1, 20
"/Users/althaf/Desktop/Web Development/lwc-dashboard/src/app/features/auth/admin/login/login.html", "HTML", 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
"/Users/althaf/Desktop/Web Development/lwc-dashboard/src/app/features/auth/admin/login/login.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/althaf/Desktop/Web Development/lwc-dashboard/src/app/features/auth/admin/login/login.spec.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 0, 0, 6, 24
"/Users/althaf/Desktop/Web Development/lwc-dashboard/src/app/features/auth/admin/login/login.ts", "TypeScript", 9, 0, 0, 0, 0, 0, 0, 0, 3, 12
"/Users/althaf/Desktop/Web Development/lwc-dashboard/src/app/features/auth/admin/two-factor/two-factor.html", "HTML", 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
"/Users/althaf/Desktop/Web Development/lwc-dashboard/src/app/features/auth/admin/two-factor/two-factor.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/althaf/Desktop/Web Development/lwc-dashboard/src/app/features/auth/admin/two-factor/two-factor.spec.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 0, 0, 6, 24
"/Users/althaf/Desktop/Web Development/lwc-dashboard/src/app/features/auth/admin/two-factor/two-factor.ts", "TypeScript", 9, 0, 0, 0, 0, 0, 0, 0, 3, 12
"/Users/althaf/Desktop/Web Development/lwc-dashboard/src/app/features/auth/auth.routes.ts", "TypeScript", 17, 0, 0, 0, 0, 0, 0, 0, 1, 18
"/Users/althaf/Desktop/Web Development/lwc-dashboard/src/app/features/auth/client/client.route.ts", "TypeScript", 39, 0, 0, 0, 0, 0, 0, 0, 1, 40
"/Users/althaf/Desktop/Web Development/lwc-dashboard/src/app/features/auth/client/forgot-password/forgot-password.html", "HTML", 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
"/Users/althaf/Desktop/Web Development/lwc-dashboard/src/app/features/auth/client/forgot-password/forgot-password.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/althaf/Desktop/Web Development/lwc-dashboard/src/app/features/auth/client/forgot-password/forgot-password.spec.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 0, 0, 6, 24
